quote_date,240020_Nav,519069_Nav,460005_Nav,161005_Nav,166005_Nav,163412_Nav,002001_Nav
2013-02-26,1.2840,1.7550,1.5280,3.1304,1.0340,1.0560,3.5200
2013-02-25,1.2880,1.7610,1.5379,3.1461,1.0470,1.0580,3.5260
2013-02-22,1.2780,1.7540,1.5279,3.1408,1.0390,1.0460,3.5200
2013-02-21,1.2950,1.7580,1.5390,3.1529,1.0380,1.0600,3.5300
2013-02-20,1.3110,1.7810,1.5624,3.1746,1.0510,1.0880,3.5460
2013-02-19,1.2540,1.7620,1.5368,3.1497,1.0350,1.0710,3.5230
2013-02-18,1.2660,1.7870,1.5582,3.1796,1.0490,1.0890,3.5370
2013-02-08,1.2650,1.7980,1.5608,3.1868,1.0530,1.0870,3.5410
2013-02-07,1.2390,1.7880,1.5451,3.1622,1.0440,1.0810,3.5310
2013-02-06,1.2270,1.7910,1.5412,3.1597,1.0410,1.0860,3.5290
2013-02-05,1.2090,1.7800,1.5330,3.1556,1.0370,1.0780,3.5250
2013-02-04,1.1930,1.7680,1.5239,3.1339,1.0260,1.0710,3.5120
2013-02-01,1.2230,1.7780,1.5357,3.1386,1.0360,1.0830,3.5170
2013-01-31,1.2210,1.7580,1.5259,3.1237,1.0260,1.0660,3.4980
2013-01-30,1.2310,1.7740,1.5344,3.1298,1.0320,1.0760,3.5070
2013-01-29,1.2430,1.7740,1.5355,3.1258,1.0300,1.0830,3.5050
2013-01-28,1.2430,1.7640,1.5276,3.1206,1.0210,1.0740,3.5000
2013-01-25,1.2160,1.7260,1.5000,3.0896,1.0060,1.0380,3.4720
2013-01-24,1.1840,1.7230,1.4968,3.0838,1.0090,1.0330,3.4680
2013-01-23,1.2000,1.7340,1.5168,3.1125,1.0220,1.0580,3.4750
2013-01-22,1.1960,1.7270,1.5134,3.1098,1.0220,1.0510,3.4700
2013-01-21,1.2200,1.7340,1.5276,3.1261,1.0310,1.0610,3.4750
2013-01-18,1.2140,1.7250,1.5289,3.1251,1.0300,1.0490,3.4730
2013-01-17,1.1970,1.6990,1.5074,3.1029,1.0210,1.0320,3.4550
2013-01-16,1.1950,1.7030,1.5106,3.1114,1.0250,1.0410,3.4570
2013-01-15,1.1780,1.7050,1.5150,3.1145,1.0310,1.0480,3.4560
2013-01-14,1.1640,1.6930,1.5095,3.1069,1.0220,1.0380,3.4490
2013-01-11,1.1370,1.6470,1.4841,3.0655,0.9960,1.0030,3.4170
2013-01-10,1.1490,1.6620,1.5042,3.0853,1.0100,1.0270,3.4280
2013-01-09,1.1400,1.6560,1.5001,3.0819,1.0090,1.0210,3.4250
2013-01-08,1.1350,1.6530,1.4942,3.0767,1.0010,1.0220,3.4220
2013-01-07,1.1000,1.6540,1.4872,3.0681,0.9930,1.0220,3.4180
2013-01-04,1.0870,1.6400,1.4891,3.0574,0.9890,1.0140,3.4090
2012-12-31,1.1160,1.6520,1.4971,3.0719,0.9960,1.0090,3.4060
2012-12-28,1.1100,1.6350,1.4836,3.0581,0.9860,0.9900,3.3950
2012-12-27,1.0980,1.6180,1.4726,3.0369,0.9760,0.9760,3.3880
2012-12-26,1.1000,1.6250,1.4750,3.0435,0.9790,0.9820,3.3950
2012-12-25,1.0970,1.6100,1.4653,3.0239,0.9690,0.9680,3.3880
2012-12-24,1.0800,1.5800,1.4438,2.9950,0.9490,0.9490,3.3650
2012-12-21,1.0540,1.5620,1.4372,2.9910,0.9460,0.9400,3.3570
2012-12-20,1.0410,1.5580,1.4383,2.9866,0.9450,0.9370,3.3550
2012-12-19,1.0410,1.5500,1.4334,2.9776,0.9400,0.9290,3.3530
2012-12-18,1.0320,1.5460,1.4331,2.9660,0.9350,0.9230,3.3500
2012-12-17,1.0400,1.5570,1.4362,2.9711,0.9350,0.9290,3.3570
2012-12-14,1.0640,1.5670,1.4371,2.9711,0.9320,0.9300,3.3660
2012-12-13,1.0410,1.5230,1.4074,2.9300,0.9010,0.8960,3.3390
2012-12-12,1.0410,1.5290,1.4122,2.9396,0.9110,0.9090,3.3420
2012-12-11,1.0460,1.5310,1.4111,2.9371,0.9100,0.9070,3.3420
2012-12-10,1.0500,1.5320,1.4155,2.9369,0.9130,0.9130,3.3450
2012-12-07,1.0540,1.5230,1.4093,2.9177,0.9020,0.9040,3.3390
2012-12-06,1.0390,1.5080,1.3982,2.8989,0.8850,0.8920,3.3290
2012-12-05,1.0430,1.5100,1.3990,2.9012,0.8880,0.8940,3.3300
2012-12-04,1.0190,1.4770,1.3799,2.8692,0.8590,0.8730,3.3100
2012-12-03,1.0170,1.4690,1.3754,2.8611,0.8460,0.8640,3.3070
2012-11-30,1.0310,1.4700,1.3804,2.8808,0.8660,0.8690,3.3140
2012-11-29,1.0190,1.4550,1.3682,2.8709,0.8560,0.8570,3.3070
2012-11-28,1.0140,1.4550,1.3702,2.8726,0.8620,0.8610,3.3060
2012-11-27,1.0240,1.4660,1.3791,2.8921,0.8710,0.8670,3.3140
2012-11-26,1.0440,1.4800,1.3874,2.9107,0.8870,0.8790,3.3210
2012-11-23,1.0510,1.4910,1.3932,2.9197,0.9010,0.8930,3.3260
2012-11-22,1.0520,1.4880,1.3888,2.9104,0.8980,0.8940,3.3240
2012-11-21,1.0630,1.5020,1.3953,2.9182,0.9090,0.9050,3.3290
2012-11-20,1.0620,1.4970,1.3913,2.9079,0.9020,0.9030,3.3230
2012-11-19,1.0640,1.4950,1.3932,2.9150,0.9040,0.9030,3.3240
2012-11-16,1.0710,1.4970,1.3949,2.9222,0.9100,0.9040,3.3270
2012-11-15,1.0850,1.5040,1.3994,2.9304,0.9160,0.9050,3.3310
2012-11-14,1.0840,1.5130,1.4036,2.9462,0.9250,0.9080,3.3350
2012-11-13,1.0730,1.5130,1.4043,2.9447,0.9210,0.9100,3.3320
2012-11-12,1.0840,1.5280,1.4109,2.9641,0.9360,0.9200,3.3400
2012-11-09,1.1020,1.5300,1.4143,2.9728,0.9360,0.9190,3.3420
2012-11-08,1.1130,1.5370,1.4176,2.9718,0.9410,0.9280,3.3460
2012-11-07,1.1220,1.5490,1.4274,2.9901,0.9550,0.9420,3.3520
2012-11-06,1.1250,1.5540,1.4299,2.9916,0.9580,0.9450,3.3550
2012-11-05,1.1240,1.5570,1.4342,2.9988,0.9650,0.9500,3.3570
2012-11-02,1.1370,1.5660,1.4368,3.0102,0.9710,0.9700,3.3610
2012-11-01,1.1380,1.5650,1.4367,3.0048,0.9690,0.9750,3.3590
2012-10-31,1.1300,1.5500,1.4283,2.9854,0.9540,0.9650,3.3500
2012-10-30,1.1140,1.5420,1.4227,2.9777,0.9530,0.9560,3.3410
2012-10-29,1.1110,1.5350,1.4236,2.9741,0.9530,0.9560,3.3380
2012-10-26,1.1030,1.5340,1.4234,2.9776,0.9530,0.9480,3.3360
2012-10-25,1.1040,1.5400,1.4330,2.9988,0.9660,0.9520,3.3440
2012-10-24,1.1140,1.5500,1.4385,3.0226,0.9740,0.9630,3.3520
2012-10-23,1.1260,1.5530,1.4415,3.0284,0.9790,0.9660,3.3500
2012-10-22,1.1520,1.5670,1.4521,3.0508,0.9970,0.9850,3.3570
2012-10-19,1.1480,1.5610,1.4493,3.0484,0.9930,0.9800,3.3540
2012-10-18,1.1600,1.5610,1.4522,3.0473,0.9940,0.9800,3.3530
2012-10-17,1.1530,1.5460,1.4430,3.0222,0.9800,0.9660,3.3420
2012-10-16,1.1580,1.5460,1.4416,3.0249,0.9780,0.9610,3.3440
2012-10-15,1.1500,1.5420,1.4402,3.0241,0.9720,0.9550,3.3410
2012-10-12,1.1340,1.5400,1.4407,3.0273,0.9740,0.9590,3.3450
2012-10-11,1.1380,1.5430,1.4426,3.0259,0.9720,0.9650,3.3480
2012-10-10,1.1470,1.5500,1.4477,3.0366,0.9840,0.9750,3.3550
